ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
335,2020-09-18,25,2020-07-30T10:11:00,1596118260,3,1.21,363
336,2020-09-18,25,2020-07-30T10:12:00,1596118320,13,1.23,1599
337,2020-09-18,25,2020-07-30T10:21:00,1596118860,1,1.24,124
338,2020-09-18,25,2020-07-30T10:25:00,1596119100,3,1.29,387
339,2020-09-18,25,2020-07-30T10:44:00,1596120240,3,1.22,366
340,2020-09-18,25,2020-07-30T11:05:00,1596121500,1,1.2,120
341,2020-09-18,25,2020-07-30T12:03:00,1596124980,1,1.07,107
342,2020-09-18,25,2020-07-30T12:05:00,1596125100,2,1.07,214
343,2020-09-18,25,2020-07-30T12:19:00,1596125940,2,1.06,212
344,2020-09-18,25,2020-07-30T12:25:00,1596126300,5,1.04,520
345,2020-09-18,25,2020-07-30T12:32:00,1596126720,1,1.08,108
346,2020-09-18,25,2020-07-30T12:40:00,1596127200,5,1.07,535
347,2020-09-18,25,2020-07-30T14:08:00,1596132480,2,1.03,206
348,2020-09-18,25,2020-07-30T14:32:00,1596133920,40,1.05,4200
349,2020-09-18,25,2020-07-30T15:23:00,1596136980,2,1.08,216
350,2020-09-18,25,2020-07-31T09:34:00,1596202440,1,1.02,102
351,2020-09-18,25,2020-07-31T09:53:00,1596203580,1,0.97,97
352,2020-09-18,25,2020-07-31T10:18:00,1596205080,5,1.1,550
353,2020-09-18,25,2020-07-31T10:24:00,1596205440,1,1.05,105
354,2020-09-18,25,2020-07-31T10:35:00,1596206100,1,1,100
355,2020-09-18,25,2020-07-31T10:46:00,1596206760,1,0.98,98
356,2020-09-18,25,2020-07-31T11:34:00,1596209640,2,0.96,192
357,2020-09-18,25,2020-07-31T12:48:00,1596214080,1,0.99,99
358,2020-09-18,25,2020-07-31T13:29:00,1596216540,2,1,200
359,2020-09-18,25,2020-07-31T14:17:00,1596219420,3,1.01,303
360,2020-09-18,25,2020-07-31T15:05:00,1596222300,18,0.99,1782
361,2020-09-18,25,2020-07-31T15:39:00,1596224340,2,0.97,194
362,2020-09-18,25,2020-07-31T15:45:00,1596224700,20,0.94,1880
363,2020-09-18,25,2020-07-31T15:48:00,1596224880,3,0.91,273
364,2020-09-18,25,2020-07-31T15:53:00,1596225180,3,0.9533333,286
365,2020-09-18,26,2020-07-21T11:37:00,1595345820,2,0.69,138
366,2020-09-18,26,2020-07-21T12:15:00,1595348100,1,0.75,75
367,2020-09-18,26,2020-07-21T13:20:00,1595352000,1,0.78,78
368,2020-09-18,26,2020-07-21T15:51:00,1595361060,1,0.79,79
